key,article_id,data_inizio_validita,data_fine_validita,price_before,price_in_period,delta_price,qty_pre,qty_in_period,sales_ht_pre,sales_pre,sales_ht_in_period,sales_in_period,cifra_ssp_pre,cifra_ssp_in_period,sconto_a_valore_in_period,margine_pp_valore_pre,margine_pp_valore_in_period,giorni_nel_periodo,delta_margine_pp_valore,qty_n_1,vendite_n_1,vendite_ht_n_1,margine_valore_n_1,gg_copertura,gg_copertura_n_1
82621132-2026-05-06,82621132,2026-05-06,,46.49,53.79,7.3,42.0,6.0,1587.8144,1937.1335,264.541,322.74,1952.58,322.74,0.0,979.6337,170.1175,48.0,-809.5162,,,,,278.3122,363.3677
87197989-2026-01-09,87197989,2026-01-09,,475.0,471.79,-3.21,8.0,8.0,3107.12,3790.6863,2978.646,3633.9481,3800.0,3774.32,-140.3719,826.9761,847.3243,165.0,20.3482,,,,,,
85642734-2026-05-09,85642734,2026-05-09,2026-10-14,50.99,38.99,-12.0,84.0,154.0,3456.4139,4216.8249,4921.6885,6004.46,4283.16,6004.46,0.0,243.1808,-1482.5457,158.0,-1725.7265,99.0,3772.8816,3092.5259,795.3066,82.6756,54.0795
82184463-2025-08-02,82184463,2025-08-02,2025-11-23,19.0,17.49,-1.51,43.0,49.0,668.9495,816.1184,678.8832,828.2375,817.0,857.01,-28.7725,310.6146,276.4236,113.0,-34.191,48.0,776.6395,636.5898,125.9068,269.3769,496.9402
88868130-2025-12-21,88868130,2025-12-21,,26.99,30.49,3.5,163.0,209.0,3509.1675,4281.1843,4952.1548,6041.6288,4399.37,6372.41,-330.7812,937.5457,1781.4492,184.0,843.9035,263.0,7772.1145,6370.5857,1313.2482,149.713,129.674
84117378-2025-09-07,84117378,2025-09-07,,9.9,10.39,0.49,29.0,22.0,229.2307,279.6615,186.5454,227.5854,287.1,228.58,-0.9946,10.3758,25.6711,289.0,15.2952,19.0,180.8066,148.2021,53.2928,,
83055662-2025-11-25,83055662,2025-11-25,2025-12-26,159.99,186.89,26.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,6.0,813.6641,666.9378,192.9379,,
81096303-2025-09-12,81096303,2025-09-12,,23.99,21.89,-2.1,100.0,82.0,1964.3138,2396.4628,1452.2747,1771.7752,2399.0,1794.98,-23.2048,891.3754,546.7121,284.0,-344.6633,111.0,2405.6444,1971.8397,513.9514,159.0428,135.2104
89721131-2026-04-18,89721131,2026-04-18,,24.9,25.29,0.39,67.0,62.0,1351.8149,1649.2141,1252.4083,1527.9382,1668.3,1567.98,-40.0418,459.7379,393.8737,66.0,-65.8643,,,,,241.9127,202.896
86343496-2025-08-04,86343496,2025-08-04,,36.99,32.09,-4.9,1598.0,1961.0,47375.3742,57797.9566,50400.0498,61488.0607,59110.02,62928.49,-1440.4293,18855.9524,14988.2124,323.0,-3867.7399,,,,,106.2611,88.8528
84986723-2025-09-23,84986723,2025-09-23,,210.49,207.49,-3.0,57.0,41.0,9814.5444,11973.7441,6973.0246,8507.09,11997.93,8507.09,0.0,3676.0907,2578.4175,273.0,-1097.6732,74.0,14801.5229,12132.3958,2606.3472,222.2622,260.2944
87509274-2026-05-12,87509274,2026-05-12,,84.9,98.09,13.19,33.0,36.0,2233.4786,2724.8438,2835.898,3459.7955,2801.7,3531.24,-71.4445,627.7263,1118.8096,42.0,491.0834,23.0,1629.7911,1335.8943,508.634,166.8158,231.1668
88082296-2025-12-17,88082296,2025-12-17,2026-03-02,94.9,91.49,-3.41,26.0,45.0,2022.2983,2467.2039,3374.6311,4117.05,2467.4,4117.05,0.0,762.1794,1309.5571,75.0,547.3777,,,,,316.6898,315.4588
84144430-2025-08-17,84144430,2025-08-17,2025-11-17,125.9,132.29,6.39,20.0,15.0,2054.1009,2506.0031,1576.7953,1923.6902,2518.0,1984.35,-60.6598,620.2759,474.3986,92.0,-145.8773,18.0,2186.8001,1792.4591,364.1603,342.1401,
88732533-2026-03-24,88732533,2026-03-24,,570.99,550.69,-20.3,55.0,53.0,25228.6509,30778.9541,22734.4757,27736.0604,31404.45,29186.57,-1450.5096,8647.6021,8022.4259,91.0,-625.1762,,,,,137.1902,159.6102
87231879-2026-04-18,87231879,2026-04-18,2026-05-17,127.99,118.19,-9.8,8.0,6.0,818.2615,998.2791,554.1841,676.1045,1023.92,709.14,-33.0355,157.3419,52.6738,29.0,-104.6681,7.0,755.5511,619.3042,125.0543,50.5934,28.7119
81408272-2025-12-19,81408272,2025-12-19,,25.99,26.89,0.9,58.0,63.0,1193.4352,1455.991,1388.582,1694.07,1507.42,1694.07,0.0,488.4278,651.7496,186.0,163.3218,32.0,732.2898,600.2375,44.2081,117.8043,183.0948
88760159-2026-04-25,88760159,2026-04-25,2026-07-26,51.49,50.39,-1.1,280.0,397.0,11665.8632,14232.3531,15282.3585,18644.4774,14417.2,20004.83,-1360.3526,1908.4606,1992.3876,92.0,83.927,235.0,14012.817,11485.9156,4705.2032,262.8543,357.5585
84735189-2025-11-10,84735189,2025-11-10,,73.49,86.89,13.4,4.0,3.0,239.4987,292.1884,213.0014,259.8617,293.96,260.67,-0.8083,73.7393,83.8367,225.0,10.0974,,,,,156.5745,
84427762-2025-09-02,84427762,2025-09-02,,105.9,132.49,26.59,17.0,16.0,1460.3661,1781.6467,1737.5738,2119.84,1800.3,2119.84,0.0,518.771,850.885,294.0,332.114,19.0,2057.2938,1686.3064,500.6303,110.5198,123.7609
83458473-2025-11-02,83458473,2025-11-02,,13.99,13.39,-0.6,113.0,188.0,1260.9847,1538.4014,2063.377,2517.32,1580.87,2517.32,0.0,134.6927,212.9642,233.0,78.2715,132.0,1637.3882,1342.1215,222.1803,113.2641,85.0133
84924468-2026-03-20,84924468,2026-03-20,2026-09-04,16.99,17.49,0.5,7.0,8.0,94.6131,115.428,110.3426,134.618,118.93,139.92,-5.302,29.5847,34.3134,168.0,4.7287,10.0,186.6123,152.9609,38.0382,,
85126693-2025-12-26,85126693,2025-12-26,2026-05-18,279.99,257.89,-22.1,13.0,20.0,2880.9443,3514.7521,3915.4205,4776.813,3639.87,5157.8,-380.987,381.1648,286.1631,143.0,-95.0017,22.0,5834.8086,4782.63,-67.983,22.6108,40.5504
88155866-2026-01-08,88155866,2026-01-08,2026-02-09,53.99,44.39,-9.6,34.0,40.0,1452.9901,1772.6479,1386.6233,1691.6805,1835.66,1775.6,-83.9195,500.0786,329.9964,32.0,-170.0822,31.0,1677.972,1375.3869,400.5755,798.5987,1096.233
81608651-2025-11-03,81608651,2025-11-03,,34.9,39.89,4.99,4.0,6.0,112.5999,137.3718,196.0427,239.1721,139.6,239.34,-0.1679,20.7146,50.3409,232.0,29.6263,0.0,0.0,0.0,0.0,44.4243,27.6204
87565790-2025-08-07,87565790,2025-08-07,,105.9,98.89,-7.01,52.0,72.0,4401.9269,5370.3508,5793.145,7067.6369,5506.8,7120.08,-52.4431,1030.8177,1326.2792,320.0,295.4615,43.0,4904.8247,4020.3481,1275.6027,986.2569,596.828
81719978-2026-03-14,81719978,2026-03-14,2026-05-10,389.49,378.89,-10.6,2.0,3.0,637.355,777.5731,904.293,1103.2374,778.98,1136.67,-33.4326,135.1655,204.4892,57.0,69.3237,3.0,1237.6144,1014.4381,216.5376,143.8818,95.8983
81849060-2026-03-12,81849060,2026-03-12,,39.99,44.09,4.1,35.0,24.0,1108.9136,1352.8746,867.3443,1058.16,1399.65,1058.16,0.0,325.2234,334.7759,103.0,9.5524,26.0,1136.9055,931.8898,146.7896,109.2238,166.5934
83328436-2026-04-10,83328436,2026-04-10,2026-05-27,89.9,98.49,8.59,0.0,2.0,0.0,0.0,161.459,196.98,0.0,196.98,0.0,0.0,61.8518,47.0,61.8518,1.0,73.1806,59.9841,15.3985,77.3805,73.404
81131248-2026-05-21,81131248,2026-05-21,,106.99,130.49,23.5,2.0,2.0,169.5811,206.8889,208.7592,254.6862,213.98,260.98,-6.2938,88.4977,131.3228,33.0,42.8252,3.0,363.6316,298.0587,128.9592,77.6296,76.1349
86168237-2025-10-30,86168237,2025-10-30,,82.9,72.09,-10.81,2.0,2.0,132.5488,161.7095,109.2046,133.2296,165.8,144.18,-10.9504,52.4335,32.7264,236.0,-19.7071,0.0,0.0,0.0,0.0,80.1058,79.9266
86038718-2026-01-19,86038718,2026-01-19,2026-02-13,13.9,12.89,-1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,342.1376,
81416987-2025-12-11,81416987,2025-12-11,,7.99,6.49,-1.5,29.0,43.0,184.7376,225.3798,227.5276,277.5836,231.71,279.07,-1.4864,66.9132,58.0741,194.0,-8.8391,32.0,244.9784,200.802,58.53,128.0414,101.4939
87028461-2025-10-25,87028461,2025-10-25,,41.9,41.99,0.09,169.0,53.0,5604.1937,6837.1164,1824.1557,2225.47,7081.1,2225.47,0.0,695.3484,309.2468,241.0,-386.1016,202.0,8461.1035,6935.3308,1877.9223,81.9637,49.6012
89202201-2026-05-16,89202201,2026-05-16,,36.99,33.59,-3.4,8.0,15.0,241.9446,295.1724,409.6785,499.8078,295.92,503.85,-4.0422,76.177,95.7595,38.0,19.5825,9.0,302.8314,248.2225,89.6397,104.8296,67.6582
82191491-2025-12-22,82191491,2025-12-22,2026-06-12,90.9,81.99,-8.91,288.0,235.0,20948.7198,25557.4382,15793.1557,19267.65,26179.2,19267.65,0.0,3079.6132,1131.8855,172.0,-1947.7277,,,,,305.3177,230.7673
85046958-2025-10-26,85046958,2025-10-26,,77.99,71.09,-6.9,5.0,3.0,319.0462,389.2364,163.8801,199.9337,389.95,213.27,-13.3363,95.2271,22.9984,240.0,-72.2287,8.0,620.9593,508.9831,191.7717,906.7374,1046.0949
87023432-2026-04-29,87023432,2026-04-29,2026-05-31,51.9,58.49,6.59,8.0,9.0,336.7844,410.877,431.4836,526.41,415.2,526.41,0.0,97.2519,142.4622,32.0,45.2103,6.0,299.7178,245.6703,54.9546,148.1119,181.1644
85212153-2026-04-08,85212153,2026-04-08,,18.49,22.49,4.0,48.0,38.0,705.9413,861.2483,666.1443,812.6961,887.52,854.62,-41.9239,277.9607,335.0679,76.0,57.1072,,,,,323.3296,
83764945-2026-04-10,83764945,2026-04-10,2026-06-02,280.9,218.89,-62.01,4.0,2.0,906.6621,1106.1277,358.8361,437.78,1123.6,437.78,0.0,179.4648,17.0135,53.0,-162.4513,,,,,167.4315,201.2537
84963729-2025-08-23,84963729,2025-08-23,2025-10-04,93.49,108.19,14.7,27.0,36.0,2040.4076,2489.2973,3192.4918,3894.84,2524.23,3894.84,0.0,305.7185,1028.1065,42.0,722.388,30.0,2677.5574,2194.7192,474.5022,189.4416,203.6584
81455303-2025-10-05,81455303,2025-10-05,2025-12-25,67.0,71.09,4.09,257.0,431.0,13735.4902,16757.2981,23510.4746,28682.7791,17219.0,30639.79,-1957.0109,4512.3648,8216.5073,81.0,3704.1425,,,,,96.3811,115.8435
86989130-2025-10-27,86989130,2025-10-27,,78.99,84.59,5.6,25.0,17.0,1575.0837,1921.6021,1132.9694,1382.2227,1974.75,1438.03,-55.8073,649.8575,492.0106,239.0,-157.8469,42.0,3270.8558,2681.0294,988.1544,1763.6303,2190.4892
88941394-2025-11-03,88941394,2025-11-03,,51.99,48.99,-3.0,209.0,220.0,8880.8126,10834.5914,8684.4782,10595.0634,10865.91,10777.8,-182.7366,1579.2251,1142.5147,232.0,-436.7104,214.0,10555.111,8651.7303,1298.8499,123.1557,91.0778
84135310-2026-04-24,84135310,2026-04-24,2026-07-01,183.99,171.29,-12.7,24.0,34.0,3499.4871,4269.3742,4570.3121,5575.7807,4415.76,5823.86,-248.0793,796.5329,625.1199,68.0,-171.413,28.0,4835.269,3963.3352,390.7363,,
85515422-2025-10-19,85515422,2025-10-19,,22.9,18.69,-4.21,112.0,78.0,2057.3143,2509.9234,1121.8905,1368.7065,2564.8,1457.82,-89.1135,683.3275,117.6339,247.0,-565.6936,208.0,4323.0791,3543.5074,1115.0352,82.0869,110.6584
85668296-2025-10-29,85668296,2025-10-29,2025-12-01,23.99,23.19,-0.8,13.0,15.0,252.7192,308.3174,285.123,347.85,311.87,347.85,0.0,44.4789,10.691,33.0,-33.7879,18.0,429.7425,352.2479,100.6635,89.2893,
82933995-2025-10-26,82933995,2025-10-26,2026-04-13,121.49,127.29,5.8,19.0,20.0,1862.5356,2272.2934,2086.7213,2545.8,2308.31,2545.8,0.0,410.032,652.7153,169.0,242.6833,10.0,1238.8252,1015.4305,54.7357,205.7357,90.9032
81473809-2025-10-02,81473809,2025-10-02,2025-12-23,96.9,92.49,-4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,3.0,289.821,237.5582,80.6167,547.1904,973.6965
87938789-2025-12-17,87938789,2025-12-17,,81.99,79.19,-2.8,126.0,167.0,8320.7932,10151.3677,10839.9426,13224.73,10330.74,13224.73,0.0,3503.016,4938.314,188.0,1435.298,118.0,9818.1838,8047.6916,1727.4839,100.1017,150.5374
89098109-2026-03-14,89098109,2026-03-14,,27.49,30.39,2.9,13.0,17.0,284.8925,347.5688,399.3269,487.1788,357.37,516.63,-29.4512,45.5309,72.4913,101.0,26.9604,,,,,194.987,189.7392
88334464-2026-03-23,88334464,2026-03-23,2026-05-25,37.49,35.79,-1.7,3.0,0.0,90.3262,110.198,0.0,0.0,112.47,0.0,0.0,16.1053,0.0,63.0,-16.1053,,,,,102.9927,94.9632
88115470-2025-11-06,88115470,2025-11-06,2026-05-03,13.99,12.69,-1.3,3.0,1.0,33.7741,41.2044,10.3977,12.6852,41.97,12.69,-0.0048,12.5339,2.9872,178.0,-9.5467,7.0,89.4034,73.2815,9.8178,462.2617,785.6019
83734876-2026-04-23,83734876,2026-04-23,2026-10-08,146.49,135.69,-10.8,9.0,13.0,1055.1584,1287.2933,1445.877,1763.97,1318.41,1763.97,0.0,589.8714,730.4432,168.0,140.5718,11.0,1631.5359,1337.3245,638.6453,,
88075051-2026-02-13,88075051,2026-02-13,2026-03-16,48.9,52.49,3.59,51.0,49.0,1990.3366,2428.2106,2108.2049,2572.01,2493.9,2572.01,0.0,343.1317,528.7639,31.0,185.6321,61.0,2951.693,2419.4205,234.3145,159.7863,198.9848
87965355-2026-01-20,87965355,2026-01-20,2026-06-22,141.99,171.49,29.5,15.0,9.0,1710.4116,2086.7022,1265.0902,1543.41,2129.85,1543.41,0.0,431.7294,452.0649,153.0,20.3355,5.0,672.3198,551.0818,205.1777,279.696,317.5014
88443636-2025-10-19,88443636,2025-10-19,2025-11-16,29.49,31.69,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,182.9598,226.0049
80666598-2025-09-16,80666598,2025-09-16,,121.99,115.09,-6.9,1108.0,1014.0,110150.7222,134383.881,94016.2625,114699.8403,135164.92,116701.26,-2001.4197,43074.2997,27911.3796,280.0,-15162.9202,657.0,76532.3938,62731.4703,15276.9373,120.5076,136.1171
83766596-2025-10-25,83766596,2025-10-25,,874.49,866.89,-7.6,663.0,836.0,463326.1047,565257.8478,594032.8197,724720.04,579786.87,724720.04,0.0,234229.1256,310462.7699,241.0,76233.6443,360.0,281434.1082,230683.6953,126876.0324,188.8179,240.4711
81748486-2025-08-03,81748486,2025-08-03,2025-10-12,117.99,115.99,-2.0,38.0,35.0,3649.6573,4452.5819,3242.3871,3955.7123,4483.62,4059.65,-103.9377,620.8852,283.1919,70.0,-337.6932,22.0,2407.0363,1972.9806,581.7987,211.0292,244.7264
84293918-2026-03-14,84293918,2026-03-14,2026-05-16,12.9,11.69,-1.21,71.0,48.0,737.9916,900.3498,426.5498,520.3908,915.9,561.12,-40.7292,287.8388,118.3093,63.0,-169.5295,67.0,814.9212,667.9682,239.5575,120.7449,
88116733-2025-12-31,88116733,2025-12-31,,66.9,62.19,-4.71,15.0,14.0,806.5893,984.0389,713.6557,870.66,1003.5,870.66,0.0,204.8951,201.1228,174.0,-3.7723,15.0,1033.1716,846.8619,174.3637,42.5539,49.5301
85293698-2025-07-11,85293698,2025-07-11,2025-09-22,71.9,62.69,-9.21,3.0,5.0,173.048,211.1185,256.9262,313.45,215.7,313.45,0.0,56.1771,64.9163,73.0,8.7392,,,,,693.3802,806.3437
85463687-2026-04-17,85463687,2026-04-17,,22.9,21.09,-1.81,19.0,27.0,353.6555,431.4597,466.7459,569.43,435.1,569.43,0.0,126.97,113.1041,67.0,-13.8659,19.0,384.0434,314.7897,44.1581,107.5965,110.1685
82630356-2026-01-21,82630356,2026-01-21,,56.99,59.89,2.9,23.0,8.0,1052.7985,1284.4142,392.7213,479.12,1310.77,479.12,0.0,360.9491,164.9428,153.0,-196.0063,27.0,1474.98,1209.0,382.3819,157.3355,219.3424
82668293-2026-04-09,82668293,2026-04-09,2026-08-03,48.9,51.59,2.69,74.0,60.0,2946.9269,3595.2508,2537.2131,3095.4,3618.6,3095.4,0.0,902.5796,1125.0726,116.0,222.493,108.0,5367.0772,4399.2436,2106.626,49.3269,
84194247-2025-11-22,84194247,2025-11-22,,136.99,137.69,0.7,28.0,29.0,3054.7961,3726.8513,3272.959,3993.01,3835.72,3993.01,0.0,1326.1317,1465.2867,213.0,139.155,30.0,3914.7999,3208.8524,1016.3926,252.2029,136.7787
80700269-2026-01-12,80700269,2026-01-12,2026-03-19,447.99,449.69,1.7,11.0,14.0,3917.6364,4779.5164,5154.4468,6288.425,4927.89,6295.66,-7.235,242.5098,413.7977,66.0,171.2879,5.0,2150.3201,1762.5574,419.367,51.8396,53.3903
88038678-2025-11-24,88038678,2025-11-24,2026-04-28,50.49,52.79,2.3,3.0,5.0,121.246,147.9201,214.4021,261.5705,151.47,263.95,-2.3795,47.2067,101.9302,155.0,54.7235,2.0,97.9532,80.2895,22.4019,735.7259,706.6345
87844044-2026-02-22,87844044,2026-02-22,,128.9,126.99,-1.91,73.0,34.0,7617.4858,9293.3327,3423.5772,4176.7642,9409.7,4317.66,-140.8958,4212.0297,1910.2131,121.0,-2301.8166,93.0,10031.0755,8222.1931,2923.66,192.1308,123.0419
88292062-2025-09-17,88292062,2025-09-17,,1256.49,1418.59,162.1,6.0,8.0,6029.5996,7356.1115,9210.1633,11236.3993,7538.94,11348.72,-112.3207,1185.0232,2930.6788,279.0,1745.6556,4.0,5465.4552,4479.8813,1611.8987,567.3069,688.1042
87333689-2025-12-22,87333689,2025-12-22,,27.99,27.99,0.0,260.0,219.0,5912.536,7213.2939,4605.3149,5618.4842,7277.4,6129.81,-511.3258,1736.0203,1012.6205,183.0,-723.3998,220.0,5342.989,4379.4992,722.7737,154.9831,86.0674
81592275-2026-04-19,81592275,2026-04-19,2026-08-29,18.99,17.49,-1.5,42.0,43.0,646.9649,789.2972,616.4508,752.07,797.58,752.07,0.0,166.3327,108.9065,132.0,-57.4262,53.0,832.7422,682.5756,117.9821,280.6913,212.2755
86280558-2025-10-07,86280558,2025-10-07,2026-01-04,144.99,153.99,9.0,24.0,8.0,2841.3676,3466.4685,1009.7705,1231.92,3479.76,1231.92,0.0,902.2523,329.6238,89.0,-572.6285,19.0,2519.5192,2065.1797,738.9858,195.8122,293.631
82019878-2025-10-16,82019878,2025-10-16,,129.49,114.29,-15.2,13.0,18.0,1343.9034,1639.5621,1592.6826,1943.0728,1683.37,2057.22,-114.1472,589.8442,532.5779,250.0,-57.2663,4.0,483.2902,396.1395,151.4478,396.0768,
85704097-2025-08-23,85704097,2025-08-23,2025-12-24,164.99,188.39,23.4,546.0,329.0,72570.7603,88536.3276,48592.3239,59282.6351,90084.54,61980.31,-2697.6749,16840.2757,16370.7323,123.0,-469.5434,773.0,118145.3341,96840.4378,27058.4823,147.6996,69.5311
85531651-2025-10-05,85531651,2025-10-05,,50.9,47.29,-3.61,2.0,2.0,83.3886,101.7341,77.1362,94.1061,101.8,94.58,-0.4739,20.4413,15.2352,261.0,-5.2061,3.0,154.3492,126.5157,34.7803,82.1024,72.7918
86728989-2025-10-16,86728989,2025-10-16,,195.99,182.09,-13.9,110.0,96.0,17654.4905,21538.4784,14328.3934,17480.64,21558.9,17480.64,0.0,6816.2134,5230.9651,250.0,-1585.2483,122.0,22634.7946,18553.1103,4397.9702,61.4137,76.5725
89648732-2026-02-22,89648732,2026-02-22,,40.49,32.69,-7.8,8.0,4.0,256.2279,312.598,104.9661,128.0586,323.92,130.76,-2.7014,72.5534,8.3828,121.0,-64.1706,2.0,72.829,59.6959,5.9724,,
83035843-2025-12-09,83035843,2025-12-09,,37.49,37.29,-0.2,137.0,76.0,4081.4114,4979.3219,2150.599,2623.7308,5136.13,2834.04,-210.3092,1473.8219,620.8956,196.0,-852.9263,122.0,4555.0637,3733.6588,1163.8954,116.8712,90.7088
82897214-2025-10-28,82897214,2025-10-28,,37.99,36.09,-1.9,27.0,40.0,822.3297,1003.2423,1124.6249,1372.0423,1025.73,1443.6,-71.5577,328.8559,372.8191,238.0,43.9631,30.0,1148.486,941.3819,355.114,185.235,
89985900-2025-10-05,89985900,2025-10-05,2025-10-20,32.9,34.49,1.59,2.0,1.0,53.0886,64.7681,28.0095,34.1716,65.8,34.49,-0.3184,10.6139,7.2009,15.0,-3.4129,,,,,,
82465683-2025-09-10,82465683,2025-09-10,2026-02-28,34.0,36.49,2.49,209.0,136.0,5662.7228,6908.5218,3987.5924,4864.8628,7106.0,4962.64,-97.7772,1225.327,1226.9975,171.0,1.6705,118.0,3297.2847,2702.6924,823.5922,72.1703,56.6251
82460251-2025-11-28,82460251,2025-11-28,2026-02-02,4.9,5.39,0.49,2.0,0.0,7.9546,9.7046,0.0,0.0,9.8,0.0,0.0,2.3339,0.0,66.0,-2.3339,,,,,445.3568,616.9769
88094604-2025-11-20,88094604,2025-11-20,,109.99,111.49,1.5,4657.0,6153.0,409138.7154,499149.2327,562293.418,685997.97,512223.43,685997.97,0.0,51203.8492,123296.5479,215.0,72092.6988,5601.0,580168.224,475547.7246,135402.4047,180.1004,127.4407
89951004-2025-07-14,89951004,2025-07-14,2025-08-25,105.49,103.69,-1.8,73.0,80.0,6231.1948,7602.0577,6237.7339,7610.0353,7700.77,8295.2,-685.1647,2260.3696,1945.923,42.0,-314.4466,68.0,6596.9116,5407.3046,1776.0342,16.0637,9.4476
83518700-2026-04-26,83518700,2026-04-26,2026-06-30,93.0,83.49,-9.51,84.0,106.0,6300.9629,7687.1748,6963.1095,8494.9936,7812.0,8849.94,-354.9464,2379.8094,2392.6239,65.0,12.8145,119.0,10415.6898,8537.4507,2344.8519,52.1653,84.5959
84849220-2026-03-03,84849220,2026-03-03,2026-07-13,418.99,380.79,-38.2,3.0,2.0,1008.9531,1230.9228,582.5397,710.6985,1256.97,761.58,-50.8815,483.5681,237.0855,132.0,-246.4827,2.0,752.58,616.8689,79.6407,527.1827,513.1258
89634554-2026-05-18,89634554,2026-05-18,,48.0,52.09,4.09,14.0,10.0,549.129,669.9374,426.4061,520.2155,672.0,520.9,-0.6845,183.3126,172.4171,36.0,-10.8955,,,,,78.5976,46.196
82581541-2025-12-25,82581541,2025-12-25,2026-04-03,38.99,42.49,3.5,66.0,39.0,2077.8681,2534.9991,1294.5896,1579.3993,2573.34,1657.11,-77.7107,472.7015,278.0789,99.0,-194.6225,74.0,2815.7959,2308.0294,666.8445,183.8699,
88445550-2025-09-12,88445550,2025-09-12,,150.49,151.29,0.8,47.0,35.0,5780.2583,7051.9151,4340.2869,5295.15,7073.03,5295.15,0.0,2184.3567,1801.6291,284.0,-382.7276,43.0,6082.0426,4985.2808,523.7108,155.1858,33.2513
86643061-2025-10-07,86643061,2025-10-07,2026-03-04,106.9,128.59,21.69,34.0,48.0,2879.63,3513.1486,4875.9146,5948.6159,3634.6,6172.32,-223.7041,1241.3599,2492.507,148.0,1251.1471,26.0,2463.6885,2019.4168,544.319,91.1399,175.6215
88494168-2026-05-10,88494168,2026-05-10,2026-10-21,28.99,31.49,2.5,12.0,5.0,276.1926,336.955,126.4142,154.2253,347.88,157.45,-3.2247,66.2687,34.5526,164.0,-31.7161,13.0,404.5413,331.5913,93.5171,53.7144,83.2978
87162580-2025-09-14,87162580,2025-09-14,,70.49,83.59,13.1,9.0,8.0,507.8884,619.6239,535.316,653.0856,634.41,668.72,-15.6344,189.7025,250.3883,282.0,60.6858,14.0,898.7722,736.6985,216.9999,226.0948,248.0592
